repo_name,full_name,description,language,topics,stargazers_count,forks_count,watchers_count,open_issues_count,size,created_at,updated_at,pushed_at,archived,has_issues,license,html_url,api_url,query_keyword,crawl_time
openMVG,openMVG/openMVG,open Multiple View Geometry library. Basis for 3D computer vision and Structure from Motion.,C++,3d-reconstruction|computer-vision|drone|geometry|multiple-view-geometry|openmvg|photogrammetry|sfm|structure-from-motion,6440,1715,6440,312,30301,2013-02-08T16:01:08Z,2026-06-24T09:29:49Z,2025-12-17T00:44:42Z,False,True,MPL-2.0,https://github.com/openMVG/openMVG,https://api.github.com/repos/openMVG/openMVG,computer vision,2026-06-24T11:18:14.871470+00:00
sports,roboflow/sports,computer vision and sports,Python,computer-vision|deep-learning|deep-neural-networks|football|football-data|image-embeddings|keypoint-detection|object-detection|soccer|soccer-analytics|soccer-data|sports|sports-analytics|sports-data|tutorial|visualization,5091,618,5091,40,2388,2024-05-13T14:51:16Z,2026-06-24T10:56:30Z,2025-11-07T16:02:11Z,False,True,MIT,https://github.com/roboflow/sports,https://api.github.com/repos/roboflow/sports,computer vision,2026-06-24T11:18:14.871470+00:00
super-gradients,Deci-AI/super-gradients,Easily train or fine-tune SOTA computer vision models with one open source training library. The home of Yolo-NAS.,Jupyter Notebook,dependency-graph,5045,592,5045,131,420273,2021-11-28T07:58:02Z,2026-06-22T20:29:29Z,2026-02-24T12:31:01Z,False,True,Apache-2.0,https://github.com/Deci-AI/super-gradients,https://api.github.com/repos/Deci-AI/super-gradients,computer vision,2026-06-24T11:18:14.871470+00:00
MLQuestions,andrewekhalel/MLQuestions,Machine Learning and Computer Vision Engineer - Technical Interview Questions,Unknown,,4709,763,4709,5,26,2018-12-12T14:10:31Z,2026-06-23T22:43:21Z,2026-01-24T08:57:20Z,False,True,unknown,https://github.com/andrewekhalel/MLQuestions,https://api.github.com/repos/andrewekhalel/MLQuestions,computer vision,2026-06-24T11:18:14.871470+00:00
framework,accord-net/framework,"Machine learning, computer vision, statistics and general scientific computing for .NET",C#,c-sharp|computer-vision|ffmpeg|framework|image-processing|machine-learning|neural-network|nuget|statistics|support-vector-machines|unity3d|visual-studio,4540,1978,4540,760,427584,2012-04-08T13:35:01Z,2026-06-15T07:48:17Z,2020-11-18T19:53:02Z,True,True,LGPL-2.1,https://github.com/accord-net/framework,https://api.github.com/repos/accord-net/framework,computer vision,2026-06-24T11:18:14.871470+00:00
awesome-satellite-imagery-datasets,chrieke/awesome-satellite-imagery-datasets,🛰️ List of satellite image training datasets with annotations for computer vision and deep learning,Unknown,computer-vision|deep-learning|earth-observation|instance-segmentation|machine-learning|object-detection|remote-sensing|satellite-imagery,3899,668,3899,0,1824,2018-05-01T22:13:17Z,2026-06-19T16:37:50Z,2022-07-14T18:02:46Z,True,True,MIT,https://github.com/chrieke/awesome-satellite-imagery-datasets,https://api.github.com/repos/chrieke/awesome-satellite-imagery-datasets,computer vision,2026-06-24T11:18:14.871470+00:00
scenic,google-research/scenic,Scenic: A Jax Library for Computer Vision Research and Beyond,Python,attention|computer-vision|deep-learning|jax|research|transformers|vision-transformer,3809,479,3809,300,71077,2021-07-12T14:27:08Z,2026-06-24T10:46:24Z,2026-06-15T09:08:03Z,False,True,Apache-2.0,https://github.com/google-research/scenic,https://api.github.com/repos/google-research/scenic,computer vision,2026-06-24T11:18:14.871470+00:00
Awesome-Visual-Transformer,dk-liang/Awesome-Visual-Transformer,Collect some papers about transformer with vision. Awesome Transformer with Computer Vision (CV),Unknown,detr|transformer|transformer-awesome|transformer-cv|transformer-with-cv|visual-transformer,3587,405,3587,3,111,2020-12-03T05:40:09Z,2026-06-21T10:56:09Z,2025-01-07T01:59:49Z,False,True,unknown,https://github.com/dk-liang/Awesome-Visual-Transformer,https://api.github.com/repos/dk-liang/Awesome-Visual-Transformer,computer vision,2026-06-24T11:18:14.871470+00:00
zhihu,NELSONZHAO/zhihu,"This repo contains the source code in my personal column (https://zhuanlan.zhihu.com/zhaoyeyu), implemented using Python 3.6. Including Natural Language Processing and Computer Vision projects, such as text generation, machine translation, deep convolution GAN and other actual combat code.",Jupyter Notebook,autoencoder|convolutional-neural-networks|deep-learning|gan|machine-translation|natural-language-processing|recurrent-neural-networks|style-transfer|tensorflow-examples,3517,2100,3517,32,165091,2017-05-25T13:38:51Z,2026-06-22T08:50:00Z,2021-06-14T08:33:33Z,False,True,unknown,https://github.com/NELSONZHAO/zhihu,https://api.github.com/repos/NELSONZHAO/zhihu,computer vision,2026-06-24T11:18:14.871470+00:00
AliceVision,alicevision/AliceVision,3D Computer Vision Framework,C++,3d-computer-vision|3d-reconstruction|ai|alicevision|camera-tracking|computer-vision|hdri-image|meshroom|multiview-stereo|panorama-image|panorama-stitching|photogrammetry|structure-from-motion,3451,874,3451,39,58493,2014-12-30T15:39:27Z,2026-06-24T08:25:53Z,2026-06-23T15:20:13Z,False,True,NOASSERTION,https://github.com/alicevision/AliceVision,https://api.github.com/repos/alicevision/AliceVision,computer vision,2026-06-24T11:18:14.871470+00:00
viseron,roflcoopter/viseron,"Self-hosted, local only NVR and AI Computer Vision software.  With features such as object detection, motion detection, face recognition and more, it gives you the power to keep an eye on your home, office or any other place you want to monitor.",Python,coral|cuda|darknet|edgetpu|face-recognition|google-coral|hacktoberfest|hardware-acceleration|ip-camera|license-plate-recognition|motion-detection|network-video-capture|network-video-recorder|nvr|object-detection|rtsp|surveillance|tensorflow|viseron|yolo,3250,397,3250,51,82196,2020-08-30T15:34:00Z,2026-06-23T15:17:36Z,2026-06-23T15:16:49Z,False,True,MIT,https://github.com/roflcoopter/viseron,https://api.github.com/repos/roflcoopter/viseron,computer vision,2026-06-24T11:18:14.871470+00:00
ComputeLibrary,ARM-software/ComputeLibrary,The Compute Library is a set of computer vision and machine learning functions optimised for both Arm CPUs and GPUs using SIMD technologies.,C++,aarch64|android|arm|armv7|armv8|computer-vision|cpp|linux|machine-learning|neon|neural-network|opencl|simd|sve,3158,818,3158,7,882769,2017-03-10T14:51:43Z,2026-06-24T11:16:03Z,2026-06-24T11:16:00Z,False,True,unknown,https://github.com/ARM-software/ComputeLibrary,https://api.github.com/repos/ARM-software/ComputeLibrary,computer vision,2026-06-24T11:18:14.871470+00:00
WebPlotDigitizer,automeris-io/WebPlotDigitizer,Computer vision assisted tool to extract numerical data from plot images.,JavaScript,charts|computer-vision|data-mining|html|javascript|reverse-engineering|visualization|webplotdigitizer,3106,433,3106,104,50203,2010-09-25T16:20:49Z,2026-06-20T09:59:34Z,2026-06-16T07:54:27Z,False,True,AGPL-3.0,https://github.com/automeris-io/WebPlotDigitizer,https://api.github.com/repos/automeris-io/WebPlotDigitizer,computer vision,2026-06-24T11:18:14.871470+00:00
ffcv,libffcv/ffcv,FFCV: Fast Forward Computer Vision (and other ML workloads!),Python,data-science|machine-learning|pytorch,2987,181,2987,121,3449,2021-10-13T17:03:39Z,2026-06-23T07:56:42Z,2024-06-16T15:59:22Z,False,True,Apache-2.0,https://github.com/libffcv/ffcv,https://api.github.com/repos/libffcv/ffcv,computer vision,2026-06-24T11:18:14.871470+00:00
computer-vision-in-action,Charmve/computer-vision-in-action,A computer vision closed-loop learning platform where code can be run interactively online. 学习闭环《计算机视觉实战演练：算法与应用》中文电子书、源码、读者交流社区（持续更新中 ...） 📘 在线电子书 https://charmve.github.io/computer-vision-in-action/   👇项目主页,Jupyter Notebook,books|charmve|colab-notebook|computer-vision|computer-vision-algorithms|deep-learning|deep-learning-tutorial|handbook|in-action|ipynb|jupyter-notebook|machine-learning|neural-network|notebook|pytorch|transformer|tutorial,2852,407,2852,60,303118,2021-04-29T03:08:48Z,2026-06-24T07:11:44Z,2024-05-27T02:44:35Z,False,True,NOASSERTION,https://github.com/Charmve/computer-vision-in-action,https://api.github.com/repos/Charmve/computer-vision-in-action,computer vision,2026-06-24T11:18:14.871470+00:00
code,MasteringOpenCV/code,"Code for the book ""Mastering OpenCV with Practical Computer Vision Projects"" by Packt Publishing 2012.",C++,,2793,1645,2793,51,86100,2012-12-09T02:48:52Z,2026-06-18T13:49:44Z,2023-06-09T17:51:02Z,False,True,NOASSERTION,https://github.com/MasteringOpenCV/code,https://api.github.com/repos/MasteringOpenCV/code,computer vision,2026-06-24T11:18:14.871470+00:00
jsfeat,inspirit/jsfeat,JavaScript Computer Vision library.,JavaScript,,2772,376,2772,48,1966,2012-11-08T12:35:55Z,2026-05-25T05:01:38Z,2022-04-16T09:05:57Z,False,True,MIT,https://github.com/inspirit/jsfeat,https://api.github.com/repos/inspirit/jsfeat,computer vision,2026-06-24T11:18:14.871470+00:00
CV-CUDA,CVCUDA/CV-CUDA,"CV-CUDA™ is an open-source, GPU accelerated library for cloud-scale image processing and computer vision.",C++,bytedance|cloud|computer-vision|cpp|cuda|cv-cuda|gpu|image-processing|machine-learning|nvidia|python,2695,255,2695,73,31494,2022-08-23T03:30:37Z,2026-06-23T15:26:49Z,2026-05-28T04:51:17Z,False,True,NOASSERTION,https://github.com/CVCUDA/CV-CUDA,https://api.github.com/repos/CVCUDA/CV-CUDA,computer vision,2026-06-24T11:18:14.871470+00:00
CVprojects,enpeizhao/CVprojects,computer vision projects |  计算机视觉相关好玩的AI项目（Python、C++、embedded system）,Jupyter Notebook,computer-vision|cpp|cuda|deep-learning|embedded-systems|machine-learning|python|tensorrt,2617,692,2617,13,221208,2021-11-22T06:29:26Z,2026-06-23T13:06:09Z,2025-12-26T12:52:58Z,False,True,unknown,https://github.com/enpeizhao/CVprojects,https://api.github.com/repos/enpeizhao/CVprojects,computer vision,2026-06-24T11:18:14.871470+00:00
computer-vision-basics-in-microsoft-excel,amzn/computer-vision-basics-in-microsoft-excel,Computer Vision Basics in Microsoft Excel (using just formulas),Unknown,,2425,247,2425,1,95190,2020-02-07T18:55:11Z,2026-06-19T15:52:44Z,2023-10-21T18:45:40Z,False,True,NOASSERTION,https://github.com/amzn/computer-vision-basics-in-microsoft-excel,https://api.github.com/repos/amzn/computer-vision-basics-in-microsoft-excel,computer vision,2026-06-24T11:18:14.871470+00:00
MLE-Flashcards,b7leung/MLE-Flashcards,"200+ detailed flashcards useful for reviewing topics in machine learning, computer vision, and computer science.",Unknown,ai|artificial-intelligence|computer-science|computer-vision|flashcards|interview|interview-preparation|machine-learning|review,2412,217,2412,4,174419,2022-07-23T05:05:08Z,2026-06-20T11:07:15Z,2026-04-30T05:33:31Z,False,True,GPL-3.0,https://github.com/b7leung/MLE-Flashcards,https://api.github.com/repos/b7leung/MLE-Flashcards,computer vision,2026-06-24T11:18:14.871470+00:00
luminoth,tryolabs/luminoth,Deep Learning toolkit for Computer Vision.,Python,computer-vision|deep-learning|faster-rcnn|machine-learning|object-detection|python|sonnet|tensorflow|toolkit,2401,391,2401,62,3123,2017-02-16T15:07:46Z,2026-06-14T22:16:41Z,2023-03-24T23:52:00Z,False,True,BSD-3-Clause,https://github.com/tryolabs/luminoth,https://api.github.com/repos/tryolabs/luminoth,computer vision,2026-06-24T11:18:14.871470+00:00
inference,roboflow/inference,Turn any computer or edge device into a command center for your computer vision projects.,Python,agents|classification|computer-vision|deployment|docker|inference|inference-api|inference-server|instance-segmentation|jetson|machine-learning|object-detection|onnx|python|tensorrt|vit|yolo11|yolov12|yolov5|yolov8,2334,276,2334,129,385511,2023-07-31T17:00:40Z,2026-06-23T13:59:02Z,2026-06-24T03:46:22Z,False,True,NOASSERTION,https://github.com/roboflow/inference,https://api.github.com/repos/roboflow/inference,computer vision,2026-06-24T11:18:14.871470+00:00
torchcv,donnyyou/torchcv,TorchCV: A PyTorch-Based Framework for Deep Learning in Computer Vision,Shell,,2253,370,2253,42,30194,2018-10-19T03:38:47Z,2026-06-18T11:49:05Z,2020-11-19T05:40:57Z,False,True,Apache-2.0,https://github.com/donnyyou/torchcv,https://api.github.com/repos/donnyyou/torchcv,computer vision,2026-06-24T11:18:14.871470+00:00
fvcore,facebookresearch/fvcore,Collection of common code that's shared among different research projects in FAIR computer vision team.,Python,,2243,237,2243,54,503,2019-09-25T22:27:59Z,2026-06-19T08:32:10Z,2026-06-02T23:22:31Z,False,True,Apache-2.0,https://github.com/facebookresearch/fvcore,https://api.github.com/repos/facebookresearch/fvcore,computer vision,2026-06-24T11:18:14.871470+00:00
unrealcv,unrealcv/unrealcv,UnrealCV: Connecting Computer Vision to Unreal Engine,Python,computer-vision|embodied-ai|machine-learning|simulation|synthetic-data|ue4|ue5|virtual-worlds,2188,461,2188,117,19240,2016-09-08T18:03:51Z,2026-06-19T15:23:05Z,2026-04-15T08:48:16Z,False,True,MIT,https://github.com/unrealcv/unrealcv,https://api.github.com/repos/unrealcv/unrealcv,computer vision,2026-06-24T11:18:14.871470+00:00
ml-cvnets,apple/ml-cvnets,CVNets: A library for training computer vision networks,Python,ade20k|classification|computer-vision|deep-learning|detection|imagenet|machine-learning|mscoco|pascal-voc|pytorch|segmentation,1977,257,1977,50,6036,2021-10-21T23:12:39Z,2026-06-20T10:46:41Z,2023-10-30T17:05:10Z,False,True,NOASSERTION,https://github.com/apple/ml-cvnets,https://api.github.com/repos/apple/ml-cvnets,computer vision,2026-06-24T11:18:14.871470+00:00
PCV,jesolem/PCV,Open source Python module for computer vision,Python,,1962,678,1962,26,61928,2012-03-30T05:31:03Z,2026-06-12T09:51:45Z,2020-12-28T00:44:46Z,False,True,BSD-2-Clause,https://github.com/jesolem/PCV,https://api.github.com/repos/jesolem/PCV,computer vision,2026-06-24T11:18:14.871470+00:00
EasyCV,alibaba/EasyCV,An all-in-one toolkit for computer vision,Python,classification|computer-vision|object-detection|pytorch|self-supervised-learning|transformers|vision-transformer,1950,226,1950,20,11023,2022-04-02T01:47:41Z,2026-06-16T15:54:04Z,2025-05-09T10:40:23Z,False,True,Apache-2.0,https://github.com/alibaba/EasyCV,https://api.github.com/repos/alibaba/EasyCV,computer vision,2026-06-24T11:18:14.871470+00:00
Semaphore,everythingishacked/Semaphore,A full-body keyboard using gestures to type through computer vision,Python,mediapipe|opencv|python,1938,27,1938,3,6395,2023-03-27T02:27:09Z,2026-06-24T00:11:53Z,2023-06-29T15:56:29Z,False,True,GPL-3.0,https://github.com/everythingishacked/Semaphore,https://api.github.com/repos/everythingishacked/Semaphore,computer vision,2026-06-24T11:18:14.871470+00:00
RPA,A9T9/RPA,"Ui.Vision Open-Source RPA Software  with Computer Vision, OCR, Anthropic Computer Use/LLM. Selenium IDE  import/export.",JavaScript,anthropic|anthropic-claude|browser-automation|browser-extension|computer-use|data-driven-tests|imacros|selenium-ide|web-automation|web-scraping,1923,403,1923,6,13035,2017-08-04T20:57:43Z,2026-06-22T16:13:16Z,2026-05-15T19:55:50Z,False,True,NOASSERTION,https://github.com/A9T9/RPA,https://api.github.com/repos/A9T9/RPA,computer vision,2026-06-24T11:18:14.871470+00:00
deepgaze,mpatacchiola/deepgaze,"Computer Vision library for human-computer interaction. It implements Head Pose and Gaze Direction Estimation Using Convolutional Neural Networks, Skin Detection through Backprojection, Motion Detection and Tracking, Saliency Map.",Python,cnn|color-detection|convolutional-neural-networks|face-detection|head-pose-estimation|histogram-comparison|histogram-intersection|human-computer-interaction|motion-detection|motion-tracking|particle-filter|saliency-map|skin-detection,1873,479,1873,11,244917,2016-03-08T13:35:01Z,2026-06-20T15:29:27Z,2024-05-09T20:37:09Z,False,True,MIT,https://github.com/mpatacchiola/deepgaze,https://api.github.com/repos/mpatacchiola/deepgaze,computer vision,2026-06-24T11:18:14.871470+00:00
ShowUI,showlab/ShowUI,"[CVPR 2025] Open-source, End-to-end, Vision-Language-Action model for GUI Agent & Computer Use.",Python,agent|computer-use|gui-agent|vision-language-action|vision-language-model,1871,138,1871,15,28276,2024-10-31T04:56:39Z,2026-06-24T10:53:52Z,2026-04-24T07:16:50Z,False,True,Apache-2.0,https://github.com/showlab/ShowUI,https://api.github.com/repos/showlab/ShowUI,computer vision,2026-06-24T11:18:14.871470+00:00
sod,symisc/sod,An Embedded Computer Vision & Machine Learning Library (CPU Optimized & IoT Capable),C,c|computer-vision|convolutional-neural-networks|cpu|deep-learning|detection|embedded|face-detection|facial-landmarks|image-analysis|image-processing|image-recognition|iot|iot-device|library|machine-learning-algorithms|object-detection|real-time|vision-framework|webassembly,1800,212,1800,7,3582,2018-04-10T23:51:01Z,2026-06-21T12:39:07Z,2023-10-20T18:32:09Z,False,True,NOASSERTION,https://github.com/symisc/sod,https://api.github.com/repos/symisc/sod,computer vision,2026-06-24T11:18:14.871470+00:00
vlfeat,vlfeat/vlfeat,An open library of computer vision algorithms,C,,1651,620,1651,149,10399,2009-05-05T18:14:47Z,2026-06-20T15:58:07Z,2022-08-25T07:57:03Z,False,True,BSD-2-Clause,https://github.com/vlfeat/vlfeat,https://api.github.com/repos/vlfeat/vlfeat,computer vision,2026-06-24T11:18:14.871470+00:00
aws-machine-learning-university-accelerated-cv,aws-samples/aws-machine-learning-university-accelerated-cv,Machine Learning University: Accelerated Computer Vision Class,Jupyter Notebook,computer-vision|deep-learning|gluon|gluoncv|machine-learning|mxnet|python,1612,362,1612,0,193650,2020-07-29T22:17:04Z,2026-06-09T13:26:37Z,2024-10-12T23:50:58Z,False,True,NOASSERTION,https://github.com/aws-samples/aws-machine-learning-university-accelerated-cv,https://api.github.com/repos/aws-samples/aws-machine-learning-university-accelerated-cv,computer vision,2026-06-24T11:18:14.871470+00:00
