full_name,description,language,topics,query_keyword,project_category,true_label,pred_label,html_url
microsoft/PromptCraft-Robotics,Community for applying LLMs to robotics and a robot simulator with ChatGPT integration,Python,airsim chatgpt llm prompt-engineering robotics simulation,robotics,robotics,robotics,natural_language_processing,https://github.com/microsoft/PromptCraft-Robotics
ashishpatel26/ResourceBank_CV_NLP_MLOPS_2022,"This repository offers a goldmine of materials for students of computer vision, natural language processing, and machine learning operations.",Jupyter Notebook,computer-vision data-science deep-learning mlops natural-language-processing,computer vision,computer_vision,computer_vision,deep_learning_framework,https://github.com/ashishpatel26/ResourceBank_CV_NLP_MLOPS_2022
hyunwoongko/transformer,"Transformer: PyTorch Implementation of ""Attention Is All You Need""",Python,attention dataset pytorch transformer,transformer,natural_language_processing,natural_language_processing,computer_vision,https://github.com/hyunwoongko/transformer
accel-brain/accel-brain-code,"The purpose of this repository is to make prototypes as case study in the context of proof of concept(PoC) and research and development(R&D) that I have written in my website. The main research topics are Auto-Encoders in relation to the representation learning, the statistical machine learning for energy-based models, adversarial generation networks(GANs), Deep Reinforcement Learning such as Deep Q-Networks, semi-supervised learning, and neural network language model for natural language processing.",Python,auto-encoder automatic-summarization combinatorial-optimization deep-learning deep-q-network deep-reinforcement-learning energy-based-model generative-adversarial-network lstm multi-agent-reinforcement-learning q-learning quantum-annealing quantum-monte-carlo reinforcement-learning restricted-boltzmann-machine self-supervised-learning semi-supervised-learning simulated-annealing transfer-learning,natural language processing,natural_language_processing,natural_language_processing,deep_learning_framework,https://github.com/accel-brain/accel-brain-code
affinelayer/pix2pix-tensorflow,Tensorflow port of Image-to-Image Translation with Conditional Adversarial Nets https://phillipi.github.io/pix2pix/,JavaScript,,tensorflow,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/affinelayer/pix2pix-tensorflow
intel/ipex-llm,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, DeepSeek, Mixtral, Gemma, Phi, MiniCPM, Qwen-VL, MiniCPM-V, etc.) on Intel XPU (e.g., local PC with iGPU and NPU, discrete GPU such as Arc, Flex and Max); seamlessly integrate with llama.cpp, Ollama, HuggingFace, LangChain, LlamaIndex, vLLM, DeepSpeed, Axolotl, etc.",Python,gpu llm pytorch transformers,pytorch,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/intel/ipex-llm
mathiasmantelli/awesome-mobile-robotics,"Useful links of different content related to AI, Computer Vision, and Robotics.",Unknown,autonomous-robots autonomous-systems awesome-list books companies datasets jobs lab labs localization mobile-robotics research robotics ros slam uav youtube,computer vision,computer_vision,computer_vision,robotics,https://github.com/mathiasmantelli/awesome-mobile-robotics
karpathy/micrograd,A tiny scalar-valued autograd engine and a neural net library on top of it with PyTorch-like API,Jupyter Notebook,,pytorch,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/karpathy/micrograd
ludwig-ai/ludwig,"Low-code framework for building custom LLMs, neural networks, and other AI models",Python,computer-vision data-centric data-science deep deep-learning deeplearning fine-tuning learning llama llama2 llm llm-training machine-learning machinelearning mistral ml natural-language natural-language-processing neural-network pytorch,deep learning,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/ludwig-ai/ludwig
charlesq34/pointnet,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,Python,classification geometry-processing neural-network point-cloud segmentation tensorflow,deep learning,deep_learning_framework,deep_learning_framework,computer_vision,https://github.com/charlesq34/pointnet
NVIDIA-AI-IOT/tf_to_trt_image_classification,Image classification with NVIDIA TensorRT from TensorFlow models.,Python,benchmark jetson-tx2 tensorflow tensorflow-models tensorrt,image classification,computer_vision,computer_vision,deep_learning_framework,https://github.com/NVIDIA-AI-IOT/tf_to_trt_image_classification
deepset-ai/haystack,"Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generation. Built for scalable agents, RAG, multimodal applications, semantic search, and conversational systems.",MDX,agent agents ai gemini generative-ai gpt-4 information-retrieval large-language-models llm machine-learning nlp orchestration python pytorch question-answering rag retrieval-augmented-generation semantic-search summarization transformers,pytorch,deep_learning_framework,deep_learning_framework,natural_language_processing,https://github.com/deepset-ai/haystack
